instant,dateday,season,year,month,hours,holiday,weekday,weather_situation,temp,atemp,humidity,wind_speed,casual,registered,count_cr,humidity_category
3916,2011-06-17,Summer,2011,Jun,1,0,Friday,Clear,0.56,0.5303,94.0,0.1343,4,19,23,Terlalu Lembab
3917,2011-06-17,Summer,2011,Jun,2,0,Friday,Clear,0.56,0.5303,94.0,0.1045,2,11,13,Terlalu Lembab
3918,2011-06-17,Summer,2011,Jun,3,0,Friday,Clear,0.56,0.5303,94.0,0.1045,1,5,6,Terlalu Lembab
3919,2011-06-17,Summer,2011,Jun,4,0,Friday,Clear,0.54,0.5152,94.0,0.1343,1,5,6,Terlalu Lembab
3920,2011-06-17,Summer,2011,Jun,5,0,Friday,Clear,0.54,0.5152,100.0,0.0,1,12,13,Terlalu Lembab
3921,2011-06-17,Summer,2011,Jun,6,0,Friday,Clear,0.56,0.5303,94.0,0.0,8,89,97,Terlalu Lembab
3922,2011-06-17,Summer,2011,Jun,7,0,Friday,Clear,0.6,0.5606,83.0,0.0,25,225,250,Terlalu Lembab
3923,2011-06-17,Summer,2011,Jun,8,0,Friday,Misty,0.6,0.5606,83.0,0.0,28,426,454,Terlalu Lembab
3924,2011-06-17,Summer,2011,Jun,9,0,Friday,Clear,0.7,0.6515,57.99999999999999,0.194,28,196,224,Ideal
3925,2011-06-17,Summer,2011,Jun,10,0,Friday,Clear,0.7,0.6515,57.99999999999999,0.194,44,126,170,Ideal
3926,2011-06-17,Summer,2011,Jun,11,0,Friday,Clear,0.68,0.6364,69.0,0.2537,43,138,181,Terlalu Lembab
3927,2011-06-17,Summer,2011,Jun,12,0,Friday,Clear,0.7,0.6515,65.0,0.2537,49,194,243,Terlalu Lembab
3928,2011-06-17,Summer,2011,Jun,13,0,Friday,Clear,0.74,0.6818,62.0,0.2836,48,156,204,Ideal
3929,2011-06-17,Summer,2011,Jun,14,0,Friday,Clear,0.76,0.697,52.0,0.194,73,142,215,Ideal
3930,2011-06-17,Summer,2011,Jun,15,0,Friday,Clear,0.78,0.697,43.0,0.2239,62,181,243,Terlalu kering
3931,2011-06-17,Summer,2011,Jun,16,0,Friday,Clear,0.76,0.6818,45.0,0.1642,69,286,355,Ideal
3932,2011-06-17,Summer,2011,Jun,17,0,Friday,Light_rainsnow,0.76,0.6818,40.0,0.194,85,467,552,Terlalu kering
3933,2011-06-17,Summer,2011,Jun,18,0,Friday,Light_rainsnow,0.76,0.6818,40.0,0.194,62,388,450,Terlalu kering
3934,2011-06-17,Summer,2011,Jun,19,0,Friday,Light_rainsnow,0.64,0.5758,83.0,0.2537,53,275,328,Terlalu Lembab
3935,2011-06-17,Summer,2011,Jun,20,0,Friday,Clear,0.64,0.5909,78.0,0.1045,40,192,232,Terlalu Lembab
3936,2011-06-17,Summer,2011,Jun,21,0,Friday,Clear,0.64,0.5909,78.0,0.0896,49,159,208,Terlalu Lembab
3937,2011-06-17,Summer,2011,Jun,22,0,Friday,Clear,0.62,0.5606,88.0,0.1343,48,127,175,Terlalu Lembab
3938,2011-06-17,Summer,2011,Jun,23,0,Friday,Clear,0.62,0.5758,83.0,0.1343,37,141,178,Terlalu Lembab
3939,2011-06-18,Summer,2011,Jun,0,0,Saturday,Clear,0.62,0.5606,88.0,0.1343,21,83,104,Terlalu Lembab
3940,2011-06-18,Summer,2011,Jun,1,0,Saturday,Clear,0.62,0.5758,83.0,0.1045,15,80,95,Terlalu Lembab
3941,2011-06-18,Summer,2011,Jun,2,0,Saturday,Clear,0.6,0.5455,88.0,0.0,16,37,53,Terlalu Lembab
3942,2011-06-18,Summer,2011,Jun,3,0,Saturday,Clear,0.6,0.5455,88.0,0.0896,4,16,20,Terlalu Lembab
3943,2011-06-18,Summer,2011,Jun,4,0,Saturday,Clear,0.6,0.5455,88.0,0.0896,1,4,5,Terlalu Lembab
3944,2011-06-18,Summer,2011,Jun,5,0,Saturday,Clear,0.62,0.5758,83.0,0.0,1,6,7,Terlalu Lembab
3945,2011-06-18,Summer,2011,Jun,6,0,Saturday,Clear,0.62,0.5758,83.0,0.1045,9,18,27,Terlalu Lembab
3946,2011-06-18,Summer,2011,Jun,7,0,Saturday,Clear,0.64,0.5909,78.0,0.1343,12,45,57,Terlalu Lembab
3947,2011-06-18,Summer,2011,Jun,8,0,Saturday,Clear,0.66,0.6061,78.0,0.0896,28,103,131,Terlalu Lembab
3948,2011-06-18,Summer,2011,Jun,9,0,Saturday,Clear,0.7,0.6515,61.0,0.2239,62,156,218,Ideal
3949,2011-06-18,Summer,2011,Jun,10,0,Saturday,Clear,0.72,0.6818,62.0,0.194,68,176,244,Ideal
3950,2011-06-18,Summer,2011,Jun,11,0,Saturday,Clear,0.72,0.6818,62.0,0.1343,134,270,404,Ideal
3951,2011-06-18,Summer,2011,Jun,12,0,Saturday,Clear,0.74,0.697,66.0,0.0896,162,258,420,Terlalu Lembab
3952,2011-06-18,Summer,2011,Jun,13,0,Saturday,Clear,0.76,0.697,55.00000000000001,0.0,135,192,327,Ideal
3953,2011-06-18,Summer,2011,Jun,14,0,Saturday,Misty,0.8,0.7273,46.0,0.2836,138,196,334,Ideal
3954,2011-06-18,Summer,2011,Jun,15,0,Saturday,Misty,0.82,0.7576,46.0,0.1343,153,214,367,Ideal
3955,2011-06-18,Summer,2011,Jun,16,0,Saturday,Misty,0.76,0.697,52.0,0.2239,193,275,468,Ideal
3956,2011-06-18,Summer,2011,Jun,17,0,Saturday,Misty,0.76,0.6818,48.0,0.1642,210,239,449,Ideal
3957,2011-06-18,Summer,2011,Jun,18,0,Saturday,Misty,0.74,0.6818,55.00000000000001,0.194,118,263,381,Ideal
3958,2011-06-18,Summer,2011,Jun,19,0,Saturday,Misty,0.74,0.6667,51.0,0.1045,99,227,326,Ideal
3959,2011-06-18,Summer,2011,Jun,20,0,Saturday,Misty,0.72,0.6667,57.99999999999999,0.1343,61,127,188,Ideal
3960,2011-06-18,Summer,2011,Jun,21,0,Saturday,Misty,0.72,0.6818,66.0,0.1045,58,125,183,Terlalu Lembab
3961,2011-06-18,Summer,2011,Jun,22,0,Saturday,Misty,0.72,0.6818,62.0,0.1343,56,105,161,Ideal
3962,2011-06-18,Summer,2011,Jun,23,0,Saturday,Misty,0.72,0.6818,62.0,0.0,53,97,150,Ideal
3963,2011-06-19,Summer,2011,Jun,0,0,Sunday,Clear,0.7,0.6515,65.0,0.0,18,71,89,Terlalu Lembab
3964,2011-06-19,Summer,2011,Jun,1,0,Sunday,Misty,0.7,0.6515,65.0,0.0896,17,59,76,Terlalu Lembab
3965,2011-06-19,Summer,2011,Jun,2,0,Sunday,Clear,0.68,0.6364,74.0,0.0896,13,59,72,Terlalu Lembab
3966,2011-06-19,Summer,2011,Jun,3,0,Sunday,Misty,0.66,0.6061,78.0,0.1343,14,16,30,Terlalu Lembab
3967,2011-06-19,Summer,2011,Jun,4,0,Sunday,Misty,0.66,0.6212,74.0,0.1343,7,10,17,Terlalu Lembab
3968,2011-06-19,Summer,2011,Jun,5,0,Sunday,Misty,0.66,0.6061,78.0,0.0,7,12,19,Terlalu Lembab
3969,2011-06-19,Summer,2011,Jun,6,0,Sunday,Misty,0.66,0.6061,78.0,0.1642,11,22,33,Terlalu Lembab
3970,2011-06-19,Summer,2011,Jun,7,0,Sunday,Misty,0.66,0.6061,78.0,0.1642,35,36,71,Terlalu Lembab
3971,2011-06-19,Summer,2011,Jun,8,0,Sunday,Light_rainsnow,0.68,0.6364,74.0,0.1045,25,59,84,Terlalu Lembab
3972,2011-06-19,Summer,2011,Jun,9,0,Sunday,Misty,0.68,0.6364,74.0,0.1045,58,111,169,Terlalu Lembab
3973,2011-06-19,Summer,2011,Jun,10,0,Sunday,Misty,0.7,0.6515,61.0,0.1045,86,158,244,Ideal
3974,2011-06-19,Summer,2011,Jun,11,0,Sunday,Misty,0.72,0.6667,57.99999999999999,0.0896,141,236,377,Ideal
3975,2011-06-19,Summer,2011,Jun,12,0,Sunday,Misty,0.74,0.6818,55.00000000000001,0.0896,141,255,396,Ideal
3976,2011-06-19,Summer,2011,Jun,13,0,Sunday,Misty,0.74,0.6667,51.0,0.0,149,214,363,Ideal
3977,2011-06-19,Summer,2011,Jun,14,0,Sunday,Light_rainsnow,0.74,0.6818,57.99999999999999,0.1045,124,193,317,Ideal
3978,2011-06-19,Summer,2011,Jun,15,0,Sunday,Misty,0.74,0.6818,55.00000000000001,0.1045,146,216,362,Ideal
3979,2011-06-19,Summer,2011,Jun,16,0,Sunday,Misty,0.76,0.6818,48.0,0.0,121,257,378,Ideal
3980,2011-06-19,Summer,2011,Jun,17,0,Sunday,Clear,0.74,0.6667,51.0,0.0,159,238,397,Ideal
3981,2011-06-19,Summer,2011,Jun,18,0,Sunday,Misty,0.74,0.6818,57.99999999999999,0.0896,78,218,296,Ideal
3982,2011-06-19,Summer,2011,Jun,19,0,Sunday,Clear,0.72,0.6818,62.0,0.1343,94,217,311,Ideal
3983,2011-06-19,Summer,2011,Jun,20,0,Sunday,Clear,0.7,0.6515,70.0,0.194,86,146,232,Terlalu Lembab
3984,2011-06-19,Summer,2011,Jun,21,0,Sunday,Clear,0.68,0.6364,79.0,0.1343,57,110,167,Terlalu Lembab
3985,2011-06-19,Summer,2011,Jun,22,0,Sunday,Clear,0.66,0.6061,78.0,0.2239,38,114,152,Terlalu Lembab
3986,2011-06-19,Summer,2011,Jun,23,0,Sunday,Clear,0.66,0.6061,78.0,0.194,14,78,92,Terlalu Lembab
3987,2011-06-20,Summer,2011,Jun,0,0,Monday,Clear,0.66,0.6061,83.0,0.1642,7,19,26,Terlalu Lembab
3988,2011-06-20,Summer,2011,Jun,1,0,Monday,Clear,0.64,0.5758,89.0,0.0896,9,3,12,Terlalu Lembab
3989,2011-06-20,Summer,2011,Jun,2,0,Monday,Clear,0.64,0.5758,89.0,0.0896,2,0,2,Terlalu Lembab
3990,2011-06-20,Summer,2011,Jun,3,0,Monday,Light_rainsnow,0.64,0.5758,89.0,0.0,1,0,1,Terlalu Lembab
3991,2011-06-20,Summer,2011,Jun,4,0,Monday,Light_rainsnow,0.62,0.5606,88.0,0.1642,1,2,3,Terlalu Lembab
3992,2011-06-20,Summer,2011,Jun,5,0,Monday,Light_rainsnow,0.62,0.5758,83.0,0.1343,0,3,3,Terlalu Lembab
3993,2011-06-20,Summer,2011,Jun,6,0,Monday,Light_rainsnow,0.6,0.5758,78.0,0.1343,1,25,26,Terlalu Lembab
3994,2011-06-20,Summer,2011,Jun,7,0,Monday,Light_rainsnow,0.56,0.5303,88.0,0.194,0,46,46,Terlalu Lembab
3995,2011-06-20,Summer,2011,Jun,8,0,Monday,Light_rainsnow,0.56,0.5303,83.0,0.194,12,209,221,Terlalu Lembab
3996,2011-06-20,Summer,2011,Jun,9,0,Monday,Misty,0.6,0.5758,78.0,0.2537,19,200,219,Terlalu Lembab
3997,2011-06-20,Summer,2011,Jun,10,0,Monday,Misty,0.6,0.5758,78.0,0.2537,33,58,91,Terlalu Lembab
3998,2011-06-20,Summer,2011,Jun,11,0,Monday,Misty,0.6,0.5758,78.0,0.1045,27,67,94,Terlalu Lembab
3999,2011-06-20,Summer,2011,Jun,12,0,Monday,Misty,0.62,0.6061,69.0,0.1045,33,129,162,Terlalu Lembab
4000,2011-06-20,Summer,2011,Jun,13,0,Monday,Clear,0.64,0.6061,65.0,0.1045,50,129,179,Terlalu Lembab
4001,2011-06-20,Summer,2011,Jun,14,0,Monday,Clear,0.66,0.6212,61.0,0.1045,45,130,175,Ideal
4002,2011-06-20,Summer,2011,Jun,15,0,Monday,Clear,0.66,0.6212,61.0,0.1343,66,139,205,Ideal
4003,2011-06-20,Summer,2011,Jun,16,0,Monday,Clear,0.7,0.6515,57.99999999999999,0.1642,61,238,299,Ideal
4004,2011-06-20,Summer,2011,Jun,17,0,Monday,Clear,0.7,0.6515,54.0,0.0,81,484,565,Ideal
4005,2011-06-20,Summer,2011,Jun,18,0,Monday,Clear,0.7,0.6515,61.0,0.2537,64,474,538,Ideal
4006,2011-06-20,Summer,2011,Jun,19,0,Monday,Clear,0.66,0.6212,65.0,0.2239,62,369,431,Terlalu Lembab
4007,2011-06-20,Summer,2011,Jun,20,0,Monday,Clear,0.66,0.6212,69.0,0.2239,52,264,316,Terlalu Lembab
4008,2011-06-20,Summer,2011,Jun,21,0,Monday,Clear,0.64,0.6061,73.0,0.1642,39,167,206,Terlalu Lembab
4009,2011-06-20,Summer,2011,Jun,22,0,Monday,Misty,0.64,0.6061,73.0,0.2239,24,106,130,Terlalu Lembab
4010,2011-06-20,Summer,2011,Jun,23,0,Monday,Clear,0.62,0.5909,78.0,0.2537,10,50,60,Terlalu Lembab
4011,2011-06-21,Fall,2011,Jun,0,0,Tuesday,Clear,0.62,0.5909,78.0,0.1642,10,23,33,Terlalu Lembab
4012,2011-06-21,Fall,2011,Jun,1,0,Tuesday,Light_rainsnow,0.62,0.5909,78.0,0.1642,2,12,14,Terlalu Lembab
4013,2011-06-21,Fall,2011,Jun,2,0,Tuesday,Light_rainsnow,0.62,0.5758,83.0,0.1642,1,5,6,Terlalu Lembab
4014,2011-06-21,Fall,2011,Jun,3,0,Tuesday,Light_rainsnow,0.62,0.5758,83.0,0.1642,0,2,2,Terlalu Lembab
4015,2011-06-21,Fall,2011,Jun,4,0,Tuesday,Misty,0.6,0.5455,88.0,0.1045,2,7,9,Terlalu Lembab
4016,2011-06-21,Fall,2011,Jun,5,0,Tuesday,Misty,0.6,0.5455,88.0,0.1343,3,22,25,Terlalu Lembab
4017,2011-06-21,Fall,2011,Jun,6,0,Tuesday,Misty,0.6,0.5455,88.0,0.1343,8,107,115,Terlalu Lembab
4018,2011-06-21,Fall,2011,Jun,7,0,Tuesday,Misty,0.6,0.5152,94.0,0.0,21,288,309,Terlalu Lembab
4019,2011-06-21,Fall,2011,Jun,8,0,Tuesday,Misty,0.62,0.5606,88.0,0.1045,33,368,401,Terlalu Lembab
4020,2011-06-21,Fall,2011,Jun,9,0,Tuesday,Misty,0.62,0.5606,88.0,0.2537,32,243,275,Terlalu Lembab
4021,2011-06-21,Fall,2011,Jun,10,0,Tuesday,Misty,0.64,0.5758,83.0,0.194,41,120,161,Terlalu Lembab
4022,2011-06-21,Fall,2011,Jun,11,0,Tuesday,Clear,0.66,0.6061,83.0,0.1642,52,119,171,Terlalu Lembab
4023,2011-06-21,Fall,2011,Jun,12,0,Tuesday,Clear,0.7,0.6667,74.0,0.1642,40,149,189,Terlalu Lembab
4024,2011-06-21,Fall,2011,Jun,13,0,Tuesday,Clear,0.74,0.697,66.0,0.1642,49,158,207,Terlalu Lembab
4025,2011-06-21,Fall,2011,Jun,14,0,Tuesday,Clear,0.76,0.7121,62.0,0.2239,44,108,152,Ideal
4026,2011-06-21,Fall,2011,Jun,15,0,Tuesday,Clear,0.78,0.7424,59.0,0.2537,42,128,170,Ideal
4027,2011-06-21,Fall,2011,Jun,16,0,Tuesday,Clear,0.8,0.7727,59.0,0.2239,62,273,335,Ideal
4028,2011-06-21,Fall,2011,Jun,17,0,Tuesday,Clear,0.78,0.7576,66.0,0.2239,65,507,572,Terlalu Lembab
4029,2011-06-21,Fall,2011,Jun,18,0,Tuesday,Misty,0.76,0.7273,70.0,0.2537,67,469,536,Terlalu Lembab
4030,2011-06-21,Fall,2011,Jun,19,0,Tuesday,Misty,0.74,0.7121,74.0,0.2239,67,358,425,Terlalu Lembab
4031,2011-06-21,Fall,2011,Jun,20,0,Tuesday,Light_rainsnow,0.74,0.697,70.0,0.2239,72,254,326,Terlalu Lembab
4032,2011-06-21,Fall,2011,Jun,21,0,Tuesday,Clear,0.72,0.697,74.0,0.194,38,191,229,Terlalu Lembab
4033,2011-06-21,Fall,2011,Jun,22,0,Tuesday,Clear,0.7,0.6667,79.0,0.1045,12,97,109,Terlalu Lembab
4034,2011-06-21,Fall,2011,Jun,23,0,Tuesday,Clear,0.7,0.6667,74.0,0.1045,11,53,64,Terlalu Lembab
4035,2011-06-22,Fall,2011,Jun,0,0,Wednesday,Clear,0.66,0.6061,78.0,0.194,15,18,33,Terlalu Lembab
4036,2011-06-22,Fall,2011,Jun,1,0,Wednesday,Clear,0.66,0.6061,78.0,0.1343,2,19,21,Terlalu Lembab
4037,2011-06-22,Fall,2011,Jun,2,0,Wednesday,Clear,0.66,0.6061,78.0,0.0,2,5,7,Terlalu Lembab
4038,2011-06-22,Fall,2011,Jun,3,0,Wednesday,Clear,0.66,0.6061,78.0,0.1343,0,7,7,Terlalu Lembab
4039,2011-06-22,Fall,2011,Jun,4,0,Wednesday,Clear,0.64,0.5758,83.0,0.0,3,8,11,Terlalu Lembab
4040,2011-06-22,Fall,2011,Jun,5,0,Wednesday,Clear,0.64,0.5758,89.0,0.0,2,21,23,Terlalu Lembab
4041,2011-06-22,Fall,2011,Jun,6,0,Wednesday,Clear,0.66,0.6061,83.0,0.0,12,110,122,Terlalu Lembab
4042,2011-06-22,Fall,2011,Jun,7,0,Wednesday,Clear,0.7,0.6667,79.0,0.0,23,288,311,Terlalu Lembab
4043,2011-06-22,Fall,2011,Jun,8,0,Wednesday,Clear,0.72,0.697,74.0,0.1045,27,396,423,Terlalu Lembab
4044,2011-06-22,Fall,2011,Jun,9,0,Wednesday,Clear,0.72,0.697,79.0,0.1642,14,205,219,Terlalu Lembab
4045,2011-06-22,Fall,2011,Jun,10,0,Wednesday,Clear,0.74,0.697,70.0,0.2537,31,104,135,Terlalu Lembab
4046,2011-06-22,Fall,2011,Jun,11,0,Wednesday,Clear,0.74,0.697,70.0,0.1642,37,108,145,Terlalu Lembab
4047,2011-06-22,Fall,2011,Jun,12,0,Wednesday,Misty,0.8,0.7727,59.0,0.2239,44,144,188,Ideal
4048,2011-06-22,Fall,2011,Jun,13,0,Wednesday,Misty,0.82,0.7879,56.00000000000001,0.2537,34,113,147,Ideal
4049,2011-06-22,Fall,2011,Jun,14,0,Wednesday,Misty,0.82,0.7727,52.0,0.2836,32,113,145,Ideal
4050,2011-06-22,Fall,2011,Jun,15,0,Wednesday,Misty,0.82,0.7879,56.00000000000001,0.2836,32,114,146,Ideal
4051,2011-06-22,Fall,2011,Jun,16,0,Wednesday,Misty,0.82,0.803,59.0,0.3284,34,224,258,Ideal
4052,2011-06-22,Fall,2011,Jun,17,0,Wednesday,Misty,0.8,0.7576,55.00000000000001,0.3881,67,462,529,Ideal
4053,2011-06-22,Fall,2011,Jun,18,0,Wednesday,Misty,0.8,0.7727,59.0,0.2537,66,447,513,Ideal
4054,2011-06-22,Fall,2011,Jun,19,0,Wednesday,Misty,0.8,0.7424,52.0,0.2537,62,280,342,Ideal
4055,2011-06-22,Fall,2011,Jun,20,0,Wednesday,Clear,0.74,0.7121,74.0,0.1343,52,230,282,Terlalu Lembab
4056,2011-06-22,Fall,2011,Jun,21,0,Wednesday,Clear,0.74,0.7121,79.0,0.1642,31,216,247,Terlalu Lembab
4057,2011-06-22,Fall,2011,Jun,22,0,Wednesday,Misty,0.72,0.697,79.0,0.194,25,123,148,Terlalu Lembab
4058,2011-06-22,Fall,2011,Jun,23,0,Wednesday,Misty,0.72,0.697,79.0,0.2239,14,91,105,Terlalu Lembab
4059,2011-06-23,Fall,2011,Jun,0,0,Thursday,Clear,0.72,0.697,79.0,0.2239,5,44,49,Terlalu Lembab
4060,2011-06-23,Fall,2011,Jun,1,0,Thursday,Clear,0.72,0.697,74.0,0.2239,5,26,31,Terlalu Lembab
4061,2011-06-23,Fall,2011,Jun,2,0,Thursday,Clear,0.72,0.697,74.0,0.2239,0,4,4,Terlalu Lembab
4062,2011-06-23,Fall,2011,Jun,3,0,Thursday,Misty,0.72,0.697,74.0,0.1642,1,4,5,Terlalu Lembab
4063,2011-06-23,Fall,2011,Jun,4,0,Thursday,Misty,0.7,0.6667,79.0,0.1343,0,7,7,Terlalu Lembab
4064,2011-06-23,Fall,2011,Jun,5,0,Thursday,Clear,0.72,0.697,74.0,0.1642,2,22,24,Terlalu Lembab
4065,2011-06-23,Fall,2011,Jun,6,0,Thursday,Clear,0.72,0.697,74.0,0.1642,8,92,100,Terlalu Lembab
4066,2011-06-23,Fall,2011,Jun,7,0,Thursday,Misty,0.72,0.697,74.0,0.1343,26,301,327,Terlalu Lembab
4067,2011-06-23,Fall,2011,Jun,8,0,Thursday,Misty,0.74,0.697,70.0,0.194,20,412,432,Terlalu Lembab
4068,2011-06-23,Fall,2011,Jun,9,0,Thursday,Misty,0.74,0.697,70.0,0.1343,33,194,227,Terlalu Lembab
4069,2011-06-23,Fall,2011,Jun,10,0,Thursday,Misty,0.76,0.7273,66.0,0.1343,39,88,127,Terlalu Lembab
4070,2011-06-23,Fall,2011,Jun,11,0,Thursday,Light_rainsnow,0.76,0.7273,66.0,0.2537,28,108,136,Terlalu Lembab
4071,2011-06-23,Fall,2011,Jun,12,0,Thursday,Misty,0.76,0.7273,66.0,0.2836,30,130,160,Terlalu Lembab
4072,2011-06-23,Fall,2011,Jun,13,0,Thursday,Misty,0.76,0.7121,62.0,0.2836,37,149,186,Ideal
4073,2011-06-23,Fall,2011,Jun,14,0,Thursday,Misty,0.76,0.7273,66.0,0.2985,46,103,149,Terlalu Lembab
4074,2011-06-23,Fall,2011,Jun,15,0,Thursday,Misty,0.76,0.697,52.0,0.3582,62,127,189,Ideal
4075,2011-06-23,Fall,2011,Jun,16,0,Thursday,Misty,0.74,0.6818,62.0,0.2985,58,217,275,Ideal
4076,2011-06-23,Fall,2011,Jun,17,0,Thursday,Misty,0.72,0.6818,70.0,0.3582,74,495,569,Terlalu Lembab
4077,2011-06-23,Fall,2011,Jun,18,0,Thursday,Clear,0.72,0.6818,70.0,0.4179,57,483,540,Terlalu Lembab
4078,2011-06-23,Fall,2011,Jun,19,0,Thursday,Clear,0.72,0.6818,70.0,0.3582,56,344,400,Terlalu Lembab
4079,2011-06-23,Fall,2011,Jun,20,0,Thursday,Clear,0.7,0.6667,74.0,0.2239,75,277,352,Terlalu Lembab
4080,2011-06-23,Fall,2011,Jun,21,0,Thursday,Clear,0.7,0.6667,74.0,0.194,46,188,234,Terlalu Lembab
4081,2011-06-23,Fall,2011,Jun,22,0,Thursday,Misty,0.7,0.6667,74.0,0.2239,23,139,162,Terlalu Lembab
4082,2011-06-23,Fall,2011,Jun,23,0,Thursday,Clear,0.7,0.6667,74.0,0.2836,15,90,105,Terlalu Lembab
4083,2011-06-24,Fall,2011,Jun,0,0,Friday,Clear,0.68,0.6364,79.0,0.194,10,53,63,Terlalu Lembab
4084,2011-06-24,Fall,2011,Jun,1,0,Friday,Clear,0.66,0.6061,83.0,0.3284,8,20,28,Terlalu Lembab
4085,2011-06-24,Fall,2011,Jun,2,0,Friday,Clear,0.66,0.6061,83.0,0.3284,4,10,14,Terlalu Lembab
4086,2011-06-24,Fall,2011,Jun,3,0,Friday,Clear,0.66,0.6061,83.0,0.1642,1,4,5,Terlalu Lembab
4087,2011-06-24,Fall,2011,Jun,4,0,Friday,Clear,0.66,0.6061,83.0,0.0896,1,8,9,Terlalu Lembab
4088,2011-06-24,Fall,2011,Jun,5,0,Friday,Clear,0.64,0.5758,89.0,0.0896,2,18,20,Terlalu Lembab
4089,2011-06-24,Fall,2011,Jun,6,0,Friday,Clear,0.66,0.6061,83.0,0.1343,4,87,91,Terlalu Lembab
4090,2011-06-24,Fall,2011,Jun,7,0,Friday,Misty,0.66,0.6061,83.0,0.2239,21,247,268,Terlalu Lembab
4091,2011-06-24,Fall,2011,Jun,8,0,Friday,Clear,0.7,0.6667,74.0,0.2239,27,439,466,Terlalu Lembab
4092,2011-06-24,Fall,2011,Jun,9,0,Friday,Clear,0.74,0.6818,62.0,0.1343,28,203,231,Ideal
4093,2011-06-24,Fall,2011,Jun,10,0,Friday,Clear,0.8,0.7273,43.0,0.2836,43,102,145,Terlalu kering
4094,2011-06-24,Fall,2011,Jun,11,0,Friday,Clear,0.8,0.7121,38.0,0.3284,56,147,203,Terlalu kering
4095,2011-06-24,Fall,2011,Jun,12,0,Friday,Clear,0.8,0.7121,41.0,0.2836,51,150,201,Terlalu kering
4096,2011-06-24,Fall,2011,Jun,13,0,Friday,Clear,0.8,0.7121,36.0,0.2239,43,178,221,Terlalu kering
4097,2011-06-24,Fall,2011,Jun,14,0,Friday,Clear,0.78,0.697,43.0,0.2836,67,162,229,Terlalu kering
4098,2011-06-24,Fall,2011,Jun,15,0,Friday,Clear,0.82,0.7273,34.0,0.3881,69,147,216,Terlalu kering
4099,2011-06-24,Fall,2011,Jun,16,0,Friday,Clear,0.8,0.697,33.0,0.4179,80,247,327,Terlalu kering
4100,2011-06-24,Fall,2011,Jun,17,0,Friday,Clear,0.76,0.6667,37.0,0.2537,85,472,557,Terlalu kering
4101,2011-06-24,Fall,2011,Jun,18,0,Friday,Clear,0.76,0.6667,37.0,0.2985,87,365,452,Terlalu kering
4102,2011-06-24,Fall,2011,Jun,19,0,Friday,Clear,0.74,0.6515,40.0,0.2239,92,293,385,Terlalu kering
4103,2011-06-24,Fall,2011,Jun,20,0,Friday,Clear,0.72,0.6515,45.0,0.1642,66,222,288,Ideal
4104,2011-06-24,Fall,2011,Jun,21,0,Friday,Clear,0.7,0.6515,48.0,0.1343,50,183,233,Ideal
4105,2011-06-24,Fall,2011,Jun,22,0,Friday,Clear,0.7,0.6515,48.0,0.0,41,126,167,Ideal
4106,2011-06-24,Fall,2011,Jun,23,0,Friday,Clear,0.68,0.6364,51.0,0.1343,33,139,172,Ideal
4107,2011-06-25,Fall,2011,Jun,0,0,Saturday,Clear,0.68,0.6364,47.0,0.1642,19,97,116,Ideal
4108,2011-06-25,Fall,2011,Jun,1,0,Saturday,Clear,0.66,0.6212,50.0,0.1642,20,75,95,Ideal
4109,2011-06-25,Fall,2011,Jun,2,0,Saturday,Misty,0.66,0.6212,50.0,0.194,8,51,59,Ideal
4110,2011-06-25,Fall,2011,Jun,3,0,Saturday,Clear,0.64,0.6212,56.99999999999999,0.194,18,21,39,Ideal
4111,2011-06-25,Fall,2011,Jun,4,0,Saturday,Clear,0.64,0.6212,56.99999999999999,0.194,7,4,11,Ideal
4112,2011-06-25,Fall,2011,Jun,5,0,Saturday,Clear,0.62,0.6061,61.0,0.1343,6,8,14,Ideal
4113,2011-06-25,Fall,2011,Jun,6,0,Saturday,Clear,0.64,0.6212,56.99999999999999,0.2239,12,17,29,Ideal
4114,2011-06-25,Fall,2011,Jun,7,0,Saturday,Clear,0.64,0.6212,56.99999999999999,0.2836,7,35,42,Ideal
4115,2011-06-25,Fall,2011,Jun,8,0,Saturday,Clear,0.7,0.6515,48.0,0.2537,27,85,112,Ideal
4116,2011-06-25,Fall,2011,Jun,9,0,Saturday,Clear,0.72,0.6515,45.0,0.2537,47,139,186,Ideal
4117,2011-06-25,Fall,2011,Jun,10,0,Saturday,Clear,0.72,0.6515,45.0,0.194,99,203,302,Ideal
4118,2011-06-25,Fall,2011,Jun,11,0,Saturday,Clear,0.74,0.6667,42.0,0.0,122,209,331,Terlalu kering
4119,2011-06-25,Fall,2011,Jun,12,0,Saturday,Clear,0.74,0.6515,40.0,0.2836,140,252,392,Terlalu kering
4120,2011-06-25,Fall,2011,Jun,13,0,Saturday,Clear,0.74,0.6515,40.0,0.2836,140,231,371,Terlalu kering
4121,2011-06-25,Fall,2011,Jun,14,0,Saturday,Clear,0.74,0.6667,45.0,0.2985,151,232,383,Ideal
4122,2011-06-25,Fall,2011,Jun,15,0,Saturday,Clear,0.74,0.6667,45.0,0.0,157,235,392,Ideal
4123,2011-06-25,Fall,2011,Jun,16,0,Saturday,Clear,0.76,0.6818,43.0,0.2985,175,235,410,Terlalu kering
4124,2011-06-25,Fall,2011,Jun,17,0,Saturday,Clear,0.74,0.6667,42.0,0.2239,152,247,399,Terlalu kering
